d,n_final,media,H
1.0,31,0.1881309401604437,0.048739716939021516
0.5,31,0.16188750728484122,0.004885572144472612
0.1,31,0.16280644170699582,0.00598474897272365
0.05,31,0.16476509647984658,0.010247151714148625
